"","mz","mzmin","mzmax","rt","rtmin","rtmax","into","intb","maxo","sn","sample","is_filled"
"CP14613",334.104654771111,334.104446411133,334.104858398438,185.309371948242,182.891426086426,188.242301940918,90284.3818305526,NA,22823.291015625,NA,3,1
"CP14614",334.863583257051,334.863555908203,334.863616943359,2.5492992401123,0.336072236299515,15.5455274581909,187324.4782826,NA,298011.90625,NA,3,1
"CP14615",335.052032470703,335.051940917969,335.052093505859,275.031341552734,273.249725341797,276.779266357422,40887.115842247,NA,57921.29296875,NA,3,1
"CP14616",334.937254864698,334.935089111328,334.939758300781,26.3441963195801,22.3354568481445,30.279351792,2099648.51725036,NA,767137.9375,NA,3,1
"CP14617",335.861959426917,335.861785888672,335.862060546875,1.98671448230743,0.336072236299515,13.0115938186646,785498.867568761,NA,270359.21875,NA,3,1
"CP14618",335.885256355573,335.884094238281,335.885894775391,24.6370677947998,23.3654556274414,26.1876220703125,24138.760238505,NA,22268.712890625,NA,3,1
"CP14619",336.931800315397,336.931060791016,336.935302734375,26.3441963195801,24.0324268341064,28.6177673339844,299393.238901919,NA,164540.734375,NA,3,1
"CP14620",337.907457313027,337.907089233398,337.907562255859,28.0856666564941,26.5632228851318,30.8544864654541,113858.102508084,NA,66018.40625,NA,3,1
"CP14621",339.071836382293,339.0693359375,339.073913574219,265.028167724609,263.203872680664,267.915054321289,415074.622920581,NA,228352.421875,NA,3,1
"CP14622",339.190308803241,339.190170288086,339.190475463867,325.922607421875,325.323165893555,329.385101318359,32661.3527034012,NA,26654.62109375,NA,3,1
"CP14623",341.17728392563,341.177276611328,341.177459716797,489.265716552734,488.156829833984,491.731170654297,38506.1663175344,NA,24552.09765625,NA,3,1
"CP14624",342.11742906989,342.117324829102,342.117645263672,240.262023925781,237.567527770996,242.916320800781,757746.853620898,NA,420487,NA,3,1
