"","mz","mzmin","mzmax","rt","rtmin","rtmax","npeaks","pooled","Unknown","mtab_webber_cuba_lumos_062018_uplc_12","mtab_webber_cuba_lumos_062018_uplc_31","mtab_webber_cuba_lumos_062018_uplc_37","isotopes","adduct","pcgroup"
"310",217.029855329944,216.969081404703,217.029961994623,34.2761763531602,26.28591222402,34.3986434936523,4,1,2,534666.956131576,381645.708493086,1000267.4967978,"[24][M+2]-","","2"
"311",217.143125855029,217.143125855029,217.143125855029,434.912353515625,434.912353515625,434.912353515625,1,0,1,65959.9390754998,0,110370.249702316,"","","107"
"312",217.861194462182,217.860967095719,217.865603033318,14.3564777374268,13.7969198226929,21.1199398040771,3,1,0,113316.408353868,792981.389601939,761843.863470241,"","","431"
"313",217.860737284826,217.860732961654,217.860741607998,4.26704967021942,2.01018023490906,6.52391910552979,2,1,0,74347.4098243236,10685.4317006041,67548.9748866553,"","","48"
"314",218.031209334117,218.031209334117,218.031209334117,33.8206176757812,33.8206176757812,33.8206176757812,1,0,1,487652.666778613,384618.513433244,188498.35798806,"[24][M+3]-","","2"
"315",218.885576850635,218.789806329406,218.913555988715,33.7833198624006,31.45006364802,36.06834500802,6,1,2,1078959.90420295,127439.929742692,88021.8268870736,"","[M-H]- 219.885","2"
"316",218.984825722478,218.984759231256,218.984892213699,345.599411010742,345.180145263672,346.018676757812,2,1,1,123250.56244708,55648.2206881139,229244.042111069,"","","115"
"317",218.9702823322,218.970277814433,218.970286849966,122.123268127441,121.275039672852,122.971496582031,2,1,0,340545.166879502,675893.797738049,721020.101639296,"","","146"
"318",218.970292488002,218.970278496961,218.970308602299,157.404708862305,151.668853759766,160.22233581543,3,1,0,199503.446676368,41210.3638720512,90470.5882011652,"","","193"
"319",218.970286183937,218.970284378748,218.970287989126,133.972694396973,132.002365112305,135.943023681641,2,1,0,253561.449728945,22916.1674530506,146633.980231235,"","","165"
"320",218.97023266718,218.970228015262,218.970237319098,187.621803283691,185.565277099609,189.678329467773,2,1,0,127404.212981845,79753.4531918249,13034.5020311908,"","","207"
"321",218.970269462622,218.97024521111,218.970293714133,173.922370910645,171.617538452148,176.227203369141,2,1,0,136071.024059748,75794.6320919931,27690.478361941,"","","212"
"322",218.970292377756,218.97027664094,218.970308114572,80.1672058105469,77.3458404541016,82.9885711669922,2,1,0,581882.575105255,308902.838102643,369384.298618622,"","","126"
"323",218.970270970586,218.970270970586,218.970270970586,69.443962097168,69.443962097168,69.443962097168,1,1,0,917258.719365728,51918.0146325285,660837.5326401,"","","108"
"324",218.97028827974,218.97028827974,218.97028827974,63.2347602844238,63.2347602844238,63.2347602844238,1,1,0,593319.268919508,323301.860177666,385070.434354717,"","","480"
"325",218.970272075445,218.970272075445,218.970272075445,90.3091506958008,90.3091506958008,90.3091506958008,1,1,0,986380.399835772,526319.981546341,622892.64699916,"","","122"
"326",218.970285344187,218.970285344187,218.970285344187,97.0609512329102,97.0609512329102,97.0609512329102,1,1,0,515093.852747322,263174.213175891,312177.02948045,"","","127"
"327",218.970306804721,218.970306804721,218.970306804721,144.383651733398,144.383651733398,144.383651733398,1,1,0,337574.300437631,191720.910682861,20934.804816405,"","","173"
"328",218.970274283177,218.970274283177,218.970274283177,104.42098236084,104.42098236084,104.42098236084,1,1,0,569321.441277005,281884.487953027,352878.13684147,"","","132"
"329",218.970264540884,218.970264540884,218.970264540884,113.349349975586,113.349349975586,113.349349975586,1,1,0,328756.798078339,165464.627933797,187385.013098729,"","","137"
"330",218.970310796878,218.970310796878,218.970310796878,51.934326171875,51.934326171875,51.934326171875,1,1,0,745282.732880383,53903.6050651968,561638.703729883,"","","393"
"331",218.970162640344,218.970162640344,218.970162640344,198.530670166016,198.530670166016,198.530670166016,1,1,0,96550.6406306407,42774.9644305383,22651.5262414788,"","","514"
"332",218.96076566064,218.939330899604,218.970376744266,25.1486392552742,24.5432071685791,34.3986434936523,8,1,2,241874.807639165,254391.508035079,8492694.83429404,"[25][M]-","[M-H]- 219.97","1"
"333",218.970337855289,218.970337855289,218.970337855289,43.3950881958008,43.3950881958008,43.3950881958008,1,1,0,1474853.82946111,91055.9542235169,1425380.90755532,"","","98"
"334",219.856584538762,219.856584538762,219.856584538762,35.9609565734863,35.9609565734863,35.9609565734863,1,1,0,202415.942439666,187697.179783873,196713.49411181,"","","17"
"335",219.973553231874,219.973553231874,219.973553231874,24.5774955749512,24.5774955749512,24.5774955749512,1,0,1,48997.6295878477,95930.4491387219,227917.238215336,"[25][M+1]-","","259"
"336",220.787254836004,220.787233109847,220.78727656216,33.4141830520979,33.0823440551758,33.74602204902,2,1,1,41725.3953273463,59584.6607456611,28572.0472773469,"","[M+Cl]- 185.817","2"
"337",220.850242459834,220.850240103773,220.850244815894,132.213836669922,130.256042480469,134.171630859375,2,0,1,68631.1277475427,107495.77697289,239991.443027646,"","","202"
"338",220.850259873683,220.850259873683,220.850259873683,118.984924316406,118.984924316406,118.984924316406,1,0,1,40704.8833801271,60045.7373617271,111795.193304049,"","","239"
"339",220.855315514856,220.843652736697,220.986129992077,36.0146507907532,33.2461090087891,37.3053665161133,6,1,2,997677.874661499,813348.723681874,845979.627083517,"","","17"
"340",220.974307764384,220.974307764384,220.974307764384,25.1456775665283,25.1456775665283,25.1456775665283,1,0,1,19173.9259240872,26343.1797155224,93217.628437441,"[25][M+2]-","","259"
"341",221.0573238041,221.057296324675,221.057369778243,277.298156738281,277.1552734375,277.87852052898,3,1,2,101554.495233245,103141.690809545,95854.2363190468,"","","171"
"342",221.080696291531,221.080660841374,221.080731741689,416.46884573267,415.560882568359,417.37680889698,2,1,1,884457.470332206,1316123.81982015,2624.67845546526,"","","47"
"343",221.153478616305,221.153478616305,221.153478616305,451.76835044802,451.76835044802,451.76835044802,1,0,1,2634.09929941086,101032.207429247,19031.7902295938,"","","70"
"344",221.838417086383,221.824926901417,221.852004947362,35.7221511507532,32.01929839998,36.1447792053223,6,1,2,4395505.27461063,772904.765806691,3579245.93463324,"","","297"
"345",222.083994960149,222.083994960149,222.083994960149,417.37680889698,417.37680889698,417.37680889698,1,0,1,4810.85894044842,159103.073298126,2900.96348903577,"","","147"
"346",222.764778847429,222.764747260208,222.76481043465,32.8383091632695,32.5073394775391,33.169278849,2,1,1,114987.717947233,83988.0230950863,69322.45632585,"","[M-2H+K]- 185.817","2"
"347",222.926140571673,222.926099206011,222.926181937336,181.760385649426,180.878555297852,182.642216001,2,1,1,103667.616117869,118591.188081363,22980.76348034,"","","191"
"348",222.852321885515,222.841453783949,222.852548987879,35.9609565734863,33.2461090087891,36.1447792053223,5,1,2,1129736.39161282,837984.371426119,895213.171592271,"","","17"
"349",222.899153377166,222.899069363065,222.912648099107,26.28591222402,25.7143459320068,26.2863788604736,3,0,2,454868.723545289,356546.649452722,227121.246484135,"","","1"
"350",222.969508172742,222.969429980336,222.969655059021,74.51730408102,73.3967819213867,74.5615081787109,3,1,2,269689.500249851,307059.913835302,305037.82241375,"","","93"
"351",223.063185024222,223.063179232833,223.063190815611,311.727298628849,311.194030761719,312.26056649598,2,1,1,173197.257915756,128478.956642998,273834.914639282,"","","111"
"352",223.848748835118,223.821992947806,223.848981002614,35.9609565734863,35.3778800964355,36.1447792053223,5,1,2,4220570.39505252,3247092.25387558,3537115.68381632,"","[M+Cl]- 188.879","17"
"353",223.967378636362,223.967316558675,223.967490034848,74.51730408102,73.3967819213867,74.5615081787109,3,1,2,489809.250280533,612480.745069668,610669.808370243,"","","93"
"354",224.056559528562,224.056394750005,224.056644056388,32.59354416,31.9345035552979,32.6675491333008,3,1,2,79798.1114667467,52693.7415091585,109108.140681348,"","","2"
"355",224.091513646629,224.091513646629,224.091513646629,472.085327148438,472.085327148438,472.085327148438,1,1,0,87463.9797275833,19184.1333910475,87003.1896417737,"","","181"
"356",224.803397008979,224.762922994443,224.803572786831,38.3104515075684,32.5073394775391,39.5645904541016,3,1,1,220899.401964754,18475.9685470049,94715.0922531867,"","","30"
