"","mz","mzmin","mzmax","rt","rtmin","rtmax","into","intb","maxo","sn","sample","is_filled"
"CP1977",572.850736122045,572.848693847656,572.851318359375,25.72179448002,24.58220516802,27.42826907298,65015.3370947362,65013.0602436122,61730.73046875,61730,2,0
"CP1992",604.809270489377,604.803833007812,604.811340332031,25.72179448002,24.58220516802,27.42826907298,66017.6529856966,66015.3761345726,59577.421875,59576,2,0
"CP1998",618.860800783963,618.859008789062,618.861022949219,26.28591222402,24.58220516802,27.42826907298,372566.302346993,372564.025495869,292649.25,292648,2,0
"CP2014",132.987538219531,132.987426757812,132.987564086914,26.28591222402,24.00615312,28.00450273602,97631.650721484,97628.2235646702,59858.0078125,59857,2,0
"CP2015",149.95041189212,149.950286865234,149.950546264648,26.28591222402,24.00615312,28.58162761602,60558.5389567999,60554.5354166159,28270.07421875,28269,2,0
"CP2016",150.946724135235,150.946624755859,150.946884155273,26.28591222402,24.00615312,28.00450273602,182810.456066816,182807.028910002,95985.0703125,95984,2,0
"CP2017",152.986909616125,152.986801147461,152.987121582031,25.15160094402,23.41173568002,28.58162761602,123189.320733107,123102.698168327,43755.23828125,266,2,0
"CP2018",155.978606042248,155.978454589844,155.978713989258,25.72179448002,24.00615312,28.00450273602,90830.9505668648,90827.5234100511,52643.68359375,52643,2,0
"CP2021",197.902266939106,197.902221679688,197.902313232422,20.00204579298,17.19474772902,25.72179448002,840991.447367325,840982.35185079,135296.6875,135296,2,0
"CP2022",197.90232822808,197.902252197266,197.902481079102,1.41155315202,0.336810882,4.22302336098,171110.840858926,171106.399473236,69329.703125,69329,2,0
"CP2023",197.902258022511,197.902221679688,197.902282714844,13.26230857698,5.91172347402,14.94603037002,707663.919097682,707654.320146605,120954.109375,120953,2,0
"CP2024",208.932886988605,208.932838439941,208.932922363281,16.070008881,9.28631939298,17.75609184,453445.330742321,453436.296318378,64545.703125,64545,2,0
"CP2025",208.932932120013,208.932815551758,208.933052062988,21.12339812802,19.44055672002,25.72179448002,344720.45559839,344713.603339016,73509.2265625,73508,2,0
"CP2026",208.932923908289,208.932838439941,208.93302154541,13.26230857698,9.28631939298,17.19474772902,421153.877029934,421145.403713859,64545.703125,59658,2,0
"CP2027",210.962048008119,210.962020874023,210.962158203125,24.58220516802,22.84974622398,28.00450273602,1665972.38850568,1664613.1126612,1102267.75,1205,2,0
"CP2028",216.969081404703,216.968826293945,216.969177246094,26.28591222402,24.58220516802,28.00450273602,109716.22590814,109713.3739935,68979.5546875,68979,2,0
"CP2029",218.95795154727,218.957748413086,218.958099365234,25.15160094402,24.00615312,28.00450273602,254391.508035079,254388.080878265,169078.984375,169078,2,0
"CP2031",236.968421305081,236.968399047852,236.968444824219,25.72179448002,23.41173568002,28.00450273602,1545678.85499184,1545674.83632066,866445.3125,866444,2,0
"CP2033",240.952824899173,240.952667236328,240.952926635742,25.72179448002,22.84974622398,28.00450273602,195974.467709951,195969.885704162,113606.3828125,113605,2,0
"CP2034",245.966100339236,245.96467590332,245.966499328613,26.28591222402,24.00615312,28.00450273602,603091.068237015,603087.641080201,449213.26953125,449212,2,0
"CP2035",246.953364629421,246.953201293945,246.953552246094,25.15160094402,24.00615312,28.00450273602,1124987.9553833,1124984.52822649,784276.5,784276,2,0
"CP2036",247.96839725895,247.966957092285,247.968688964844,24.58220516802,21.12339812802,28.58162761602,1616664.42177019,1575197.76488608,700350.0625,128,2,0
"CP2037",252.945970496056,252.945922851562,252.946029663086,25.72179448002,24.00615312,28.00450273602,484391.309591038,484387.882434224,342672.28125,342671,2,0
"CP2040",262.930224638057,262.930145263672,262.930328369141,26.28591222402,24.00615312,28.00450273602,812407.219248859,812403.792092045,579214.8125,579214,2,0
"CP2041",262.936997850316,262.936828613281,262.937591552734,26.28591222402,24.58220516802,28.00450273602,53360.2731812703,53357.4212666303,38471.0234375,38470,2,0
"CP2042",263.917373129403,263.917236328125,263.917449951172,26.28591222402,24.58220516802,28.00450273602,119959.944020617,119957.092105977,84263.6484375,84263,2,0
"CP2043",263.930903445211,263.930816650391,263.931030273438,26.28591222402,24.00615312,28.00450273602,161130.262620956,161126.835464143,107965.6171875,107965,2,0
"CP2044",264.927516060467,264.927368164062,264.927581787109,26.28591222402,24.00615312,28.00450273602,445004.667516014,445001.2403592,312279.75,312279,2,0
"CP2045",264.927971661259,264.927459716797,264.931457519531,25.72179448002,22.84974622398,28.00450273602,494201.835721707,493244.9545117,312279.75,485,2,0
"CP2046",265.963734547232,265.963592529297,265.963836669922,25.72179448002,23.41173568002,28.00450273602,607664.585725738,607660.567054564,366225.78125,366225,2,0
"CP2047",266.960661743376,266.959228515625,266.961151123047,25.72179448002,24.00615312,28.00450273602,744759.463391368,744756.036234554,412549.78125,412549,2,0
"CP2049",273.902388030907,273.902160644531,273.902526855469,26.28591222402,24.00615312,28.00450273602,146237.341278613,146233.914121799,78207.78125,78207,2,0
"CP2050",275.957095746618,275.956695556641,275.957397460938,26.28591222402,24.00615312,28.58162761602,1614308.50963048,1613514.24192961,1143693.625,1215,2,0
"CP2051",276.896622516933,276.896484375,276.896820068359,26.28591222402,24.58220516802,28.00450273602,46574.6174288254,46571.7655141854,20409.759765625,20409,2,0
"CP2053",276.91391520295,276.913696289062,276.913970947266,26.28591222402,24.00615312,28.58162761602,889544.579429105,889540.575888921,557494.5,557494,2,0
"CP2054",276.953989340098,276.953887939453,276.954223632812,26.28591222402,24.00615312,28.58162761602,1080190.66329279,1080186.6597526,799966.875,799966,2,0
"CP2058",279.912131119286,279.912017822266,279.912322998047,26.28591222402,24.00615312,28.00450273602,177595.834491338,177592.407334524,121371.875,121371,2,0
"CP2059",280.940842068603,280.940826416016,280.940887451172,25.72179448002,23.41173568002,28.58162761602,2348215.24524189,2348210.64978239,1396406.375,1396405,2,0
"CP2062",291.935446951667,291.935119628906,291.937225341797,26.28591222402,24.58220516802,28.00450273602,240528.114539672,240525.262625032,139877.798828125,139877,2,0
