"","mz","mzmin","mzmax","rt","rtmin","rtmax","npeaks","pooled","Unknown","mtab_webber_cuba_lumos_062018_uplc_12","mtab_webber_cuba_lumos_062018_uplc_13","mtab_webber_cuba_lumos_062018_uplc_14","mtab_webber_cuba_lumos_062018_uplc_15","mtab_webber_cuba_lumos_062018_uplc_19","mtab_webber_cuba_lumos_062018_uplc_26","mtab_webber_cuba_lumos_062018_uplc_31","mtab_webber_cuba_lumos_062018_uplc_37","isotopes","adduct","pcgroup"
"550",237.971963743383,237.971922987616,237.971997000093,74.0498428344727,73.4901123046875,74.05319939202,4,1,3,98792.390248718,91645.428614924,103953.815117816,85659.002902539,83794.8818600343,40495.4677808944,74433.9237799272,5598.76361845165,"","","537"
"551",237.969757441196,237.969704659847,237.969810222545,25.7150068283081,25.6976871490479,25.7323265075684,2,1,1,186409.890695765,205826.339958326,130201.796540276,125107.550770647,189830.437451773,2991.74451948942,65353.3017928387,28278.2313158512,"[37][M+1]-","","1"
"552",237.933733701988,237.933676622284,237.933790781693,36.555757632334,36.487907409668,36.623607855,2,1,1,56912.3355270533,26770.0078992475,44812.6237160566,45367.4813064811,69746.947368014,10172.7556948549,22341.5211053083,13814.4554881898,"","","481"
"553",238.106873410049,238.106873410049,238.106873410049,262.063598632812,262.063598632812,262.063598632812,1,0,1,39595.8770221969,67575.893339321,42640.3270445541,39203.6546423211,45503.8190724552,10305.6130142212,25706.8806368673,18975.8471698761,"","","587"
"554",238.801559167531,238.796362180816,238.801691079564,33.7684326171875,33.5971298217773,33.9239807128906,11,3,5,96988.3297798081,74963.1201528521,71101.3854060571,62620.4713038494,67226.9263872726,89701.9902217396,89370.8617668619,72411.1474273183,"","","2"
"555",239.000556950414,239.000556950414,239.000556950414,350.696502685547,350.696502685547,350.696502685547,1,0,1,56584.516148811,28912.6291669384,196090.043892516,57068.0509841117,49225.2764904391,60456.2072329955,999.977366428483,45407.9170877446,"","","204"
"556",238.957127029315,238.931693097021,238.996712636806,25.728940047,23.9387893676758,36.8448295593262,17,3,5,423711.869830946,477935.793311066,491621.595956239,479841.36484613,7568213.55290152,246567.073297055,4940558.20314151,126803.770150682,"[37][M+2]-","","1"
"557",239.127479958236,239.127245405143,239.127518075987,470.062561035156,468.516265869141,471.718200683594,4,2,2,130086.888848714,38148.9152291417,115916.34004421,54039.0470347727,104995.670933505,99904.4678179219,175931.325565422,128931.284996959,"","","190"
"558",239.760488621789,239.760309909988,239.760531138392,33.7859439849854,33.5971298217773,33.9239807128906,8,3,5,4505159.3112642,5015061.76157105,3782503.27259694,5076832.27281376,3696061.29122371,3362094.24451666,3411325.64797402,2258679.41052383,"","[M-2H+K]- 202.806","2"
"559",239.960461922067,239.960315584391,239.965980857613,24.6144618988037,23.9387893676758,26.295055935,7,3,2,276979.579841301,301484.176780313,162112.966458857,255089.600389598,216007.700693582,216250.199149528,151833.686306,336414.52349106,"[37][M+3]-","","1"
"560",239.995631725467,239.995467906825,239.995795544109,283.199432373047,283.198608398438,283.200256347656,2,1,1,107344.36426879,168697.643391478,50185.2660957972,84338.0113159021,114302.355189042,106200.279235482,67420.5395582557,95226.6755841255,"","","493"
"561",240.844877245266,240.760909990585,240.928852808982,31.5028295516968,29.1072273254395,33.9239807128906,12,2,5,86840.2931073575,104959.674597673,74906.0824162094,91724.309904952,66321.3863566914,154787.322599309,71766.0607122617,39456.5127287975,"","","406"
